id,image_id,classified_at,food,user_id,provider_id,created_at,updated_at,uid,cooking_photo_id,taken_at,milestone,misclassified_at,moderated_at,utc_offset
3419153,6ea1607e01eb6d45,2016-12-08T19:10:00,1,6129125,1,2016-12-08T19:09:57,2016-12-12T15:53:04,4EA556D9-59DA-4302-B3F5-83DE0D8B8895/L0/001,307613,2016-11-16T21:15:41,0,,2016-12-12T15:53:04,0
3419312,a80a66156ad5436e,2016-12-08T19:10:35,1,6129125,1,2016-12-08T19:10:33,2016-12-12T15:53:04,D63DEB8C-D28D-4DB5-9F16-47DE21CF1B47/L0/001,307617,2016-11-11T14:37:02,0,,2016-12-12T15:53:04,0
3419324,b6513bed00aaf39f,2016-12-08T19:10:38,1,6129125,1,2016-12-08T19:10:35,2016-12-12T15:53:04,AB16F023-E3FE-461E-B5D1-3D8D588D165B/L0/001,307620,2016-11-11T14:36:54,0,,2016-12-12T15:53:04,0
3419325,158065be6b673dd2,2016-12-08T19:10:36,1,6129125,1,2016-12-08T19:10:35,2016-12-12T15:53:04,AE4F9BFA-956F-4245-9034-4F6D22A4DBD3/L0/001,307618,2016-11-11T14:37:06,0,,2016-12-12T15:53:04,0
3419327,f19781c5b876b3b1,2016-12-08T19:10:36,1,6129125,1,2016-12-08T19:10:35,2016-12-12T15:53:04,E5DFA75D-F9D4-4E73-8ABF-86960B5C5176/L0/001,307619,2016-11-11T14:36:54,0,,2016-12-12T15:53:04,0
3419328,e954d861ec17b696,2016-12-08T19:10:38,1,6129125,1,2016-12-08T19:10:36,2016-12-12T15:53:04,90878B2C-6BCA-4D98-9BAB-481FD3520F4F/L0/001,307621,2016-11-11T14:37:02,0,,2016-12-12T15:53:04,0
3419379,77daf191a5acd769,2016-12-08T19:11:15,1,6129125,1,2016-12-08T19:11:08,2016-12-12T15:53:08,C55B9AFC-953C-4FD9-AC4A-B96048FF4516/L0/001,307629,2016-11-10T13:51:24,0,,2016-12-12T15:53:08,0
3419380,fefad97b970b83f6,2016-12-08T19:11:13,1,6129125,1,2016-12-08T19:11:08,2016-12-12T15:53:08,CB0BB226-87D3-4D2C-A7F7-C19B5C5A347C/L0/001,307625,2016-11-09T21:51:10,0,,2016-12-12T15:53:08,0
3419383,fbcfeb6dc2e71713,2016-12-08T19:11:12,1,6129125,1,2016-12-08T19:11:08,2016-12-12T15:53:04,AA7F0120-011A-4380-B7D5-F89F76F3B915/L0/001,307622,2016-11-09T21:51:08,0,,2016-12-12T15:53:04,0
3419384,cff8e7a2c2dcd957,2016-12-08T19:11:12,1,6129125,1,2016-12-08T19:11:08,2016-12-12T15:53:08,ED13A6A3-D3A3-4CFE-925C-8375303AE91D/L0/001,307623,2016-11-10T13:51:15,0,,2016-12-12T15:53:08,0
3419385,972f571b63dde2f6,2016-12-08T19:11:16,1,6129125,1,2016-12-08T19:11:09,2016-12-12T15:53:08,9597B64F-5311-4364-9748-F60177EB57F2/L0/001,307634,2016-11-09T21:17:12,0,,2016-12-12T15:53:08,0
3419388,c013f58247e7d6e6,2016-12-08T19:11:17,1,6129125,1,2016-12-08T19:11:09,2016-12-12T15:53:08,0CB24672-BA1D-4146-BC91-CDC974E3B203/L0/001,307635,2016-11-09T21:51:08,0,,2016-12-12T15:53:08,0
3419389,552cc4b7fd254690,2016-12-08T19:11:15,1,6129125,1,2016-12-08T19:11:09,2016-12-12T15:53:08,921913C6-3CD1-4908-8EC3-652ACA7066FE/L0/001,307630,2016-11-08T20:11:52,0,,2016-12-12T15:53:08,0
